ID	Gene Name	Species	BBID	BIOCARTA	COG_ONTOLOGY	GOTERM_BP_DIRECT	GOTERM_CC_DIRECT	GOTERM_MF_DIRECT	INTERPRO	KEGG_PATHWAY	OMIM_DISEASE	PIR_SUPERFAMILY	SMART	UP_KEYWORDS	UP_SEQ_FEATURE
207260_at	FEV, ETS transcription factor(FEV)	Homo sapiens				GO:0006357~regulation of transcription from RNA polymerase II promoter,GO:0006366~transcription from RNA polymerase II promoter,GO:0010628~positive regulation of gene expression,GO:0030154~cell differentiation,GO:0042551~neuron maturation,GO:0048665~neuron fate specification,GO:1903507~negative regulation of nucleic acid-templated transcription,	GO:0005634~nucleus,	GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding,GO:0003700~transcription factor activity, sequence-specific DNA binding,GO:0003714~transcription corepressor activity,GO:0043565~sequence-specific DNA binding,	IPR000418:Ets domain,IPR011991:Winged helix-turn-helix DNA-binding domain,	hsa05202:Transcriptional misregulation in cancer,			SM00413:ETS,	3D-structure,Chromosomal rearrangement,Complete proteome,Developmental protein,Differentiation,DNA-binding,Neurogenesis,Nucleus,Reference proteome,Transcription,Transcription regulation,	chain:Protein FEV,compositionally biased region:Ala-rich,DNA-binding region:ETS,region of interest:May mediate active transcriptional repression,site:Breakpoint for insertion to form EWS-FEV fusion protein,
221086_s_at	FEZ family zinc finger 2(FEZF2)	Homo sapiens			General function prediction only,	GO:0000122~negative regulation of transcription from RNA polymerase II promoter,GO:0006366~transcription from RNA polymerase II promoter,GO:0007411~axon guidance,GO:0007413~axonal fasciculation,GO:0007626~locomotory behavior,GO:0008285~negative regulation of cell proliferation,GO:0016358~dendrite development,GO:0021542~dentate gyrus development,GO:0021797~forebrain anterior/posterior pattern specification,GO:0021853~cerebral cortex GABAergic interneuron migration,GO:0021902~commitment of neuronal cell to specific neuron type in forebrain,GO:0045665~negative regulation of neuron differentiation,GO:0045666~positive regulation of neuron differentiation,GO:0045892~negative regulation of transcription, DNA-templated,GO:0045944~positive regulation of transcription from RNA polymerase II promoter,GO:0048664~neuron fate determination,GO:1902667~regulation of axon guidance,	GO:0005634~nucleus,	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding,GO:0001227~transcriptional repressor activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0001228~transcriptional activator activity, RNA polymerase II transcription regulatory region sequence-specific binding,GO:0003682~chromatin binding,GO:0046872~metal ion binding,	IPR007087:Zinc finger, C2H2,IPR013087:Zinc finger C2H2-type/integrase DNA-binding domain,IPR015880:Zinc finger, C2H2-like,				SM00355:ZnF_C2H2,	Alternative splicing,Complete proteome,Developmental protein,Differentiation,DNA-binding,Metal-binding,Neurogenesis,Nucleus,Polymorphism,Reference proteome,Repeat,Repressor,Transcription,Transcription regulation,Zinc,Zinc-finger,	chain:Fez family zinc finger protein 2,compositionally biased region:Gly-rich,sequence conflict,sequence variant,short sequence motif:Engrailed homology 1 repressor,splice variant,zinc finger region:C2H2-type 1,zinc finger region:C2H2-type 2,zinc finger region:C2H2-type 3,zinc finger region:C2H2-type 4,zinc finger region:C2H2-type 5,zinc finger region:C2H2-type 6,
202041_s_at	FGF1 intracellular binding protein(FIBP)	Homo sapiens				GO:0008543~fibroblast growth factor receptor signaling pathway,GO:0070527~platelet aggregation,	GO:0005634~nucleus,GO:0005739~mitochondrion,GO:0012505~endomembrane system,GO:0016020~membrane,GO:0070062~extracellular exosome,	GO:0017134~fibroblast growth factor binding,	IPR008614:Acidic fibroblast growth factor binding,					Acetylation,Alternative splicing,Complete proteome,Membrane,Nucleus,Polymorphism,Proteomics identification,Reference proteome,	chain:Acidic fibroblast growth factor intracellular-binding protein,modified residue,sequence variant,splice variant,
214124_x_at, 205588_s_at, 205587_at	FGFR1 oncogene partner(FGFR1OP)	Homo sapiens				GO:0000086~G2/M transition of mitotic cell cycle,GO:0006469~negative regulation of protein kinase activity,GO:0008284~positive regulation of cell proliferation,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0030307~positive regulation of cell growth,GO:0030335~positive regulation of cell migration,GO:0034453~microtubule anchoring,GO:0061099~negative regulation of protein tyrosine kinase activity,	GO:0005634~nucleus,GO:0005813~centrosome,GO:0005815~microtubule organizing center,GO:0005829~cytosol,GO:0048471~perinuclear region of cytoplasm,	GO:0004713~protein tyrosine kinase activity,GO:0005515~protein binding,GO:0019901~protein kinase binding,GO:0030292~protein tyrosine kinase inhibitor activity,GO:0042803~protein homodimerization activity,	IPR006594:LisH dimerisation motif,IPR018993:FGFR1 oncogene partner (FOP), N-terminal dimerisation domain,		Myeloproliferative disorder~Myeloproliferative disorder,			3D-structure,Alternative splicing,Chromosomal rearrangement,Complete proteome,Cytoplasm,Cytoskeleton,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,	chain:FGFR1 oncogene partner,domain:LisH,helix,modified residue,mutagenesis site,sequence conflict,sequence variant,site:Breakpoint for translocation to form FGFR1OP-FGFR1 or FGFR1-FGFR1OP fusion proteins,splice variant,turn,
219718_at	FGGY carbohydrate kinase domain containing(FGGY)	Homo sapiens				GO:0005975~carbohydrate metabolic process,GO:0016310~phosphorylation,GO:0070050~neuron cellular homeostasis,	GO:0005737~cytoplasm,	GO:0016301~kinase activity,GO:0016773~phosphotransferase activity, alcohol group as acceptor,	IPR006003:Carbohydrate kinase, FGGY-related,IPR018484:Carbohydrate kinase, FGGY, N-terminal,IPR018485:Carbohydrate kinase, FGGY, C-terminal,			PIRSF000538:keto-sugar kinase,		Alternative splicing,Amyotrophic lateral sclerosis,Complete proteome,Kinase,Neurodegeneration,Polymorphism,Proteomics identification,Reference proteome,Transferase,	chain:FGGY carbohydrate kinase domain- containing protein,sequence variant,splice variant,
208438_s_at	FGR proto-oncogene, Src family tyrosine kinase(FGR)	Homo sapiens		h_bArrestin-srcPathway:Roles of ï¿½-arrestin-dependent Recruitment of Src Kinases in GPCR Signaling,		GO:0002768~immune response-regulating cell surface receptor signaling pathway,GO:0006468~protein phosphorylation,GO:0007169~transmembrane receptor protein tyrosine kinase signaling pathway,GO:0007229~integrin-mediated signaling pathway,GO:0008360~regulation of cell shape,GO:0009615~response to virus,GO:0014068~positive regulation of phosphatidylinositol 3-kinase signaling,GO:0016477~cell migration,GO:0018108~peptidyl-tyrosine phosphorylation,GO:0030154~cell differentiation,GO:0030335~positive regulation of cell migration,GO:0038083~peptidyl-tyrosine autophosphorylation,GO:0038096~Fc-gamma receptor signaling pathway involved in phagocytosis,GO:0042127~regulation of cell proliferation,GO:0043306~positive regulation of mast cell degranulation,GO:0043552~positive regulation of phosphatidylinositol 3-kinase activity,GO:0045087~innate immune response,GO:0045088~regulation of innate immune response,GO:0045859~regulation of protein kinase activity,GO:0046777~protein autophosphorylation,GO:0050715~positive regulation of cytokine secretion,GO:0050764~regulation of phagocytosis,GO:0050830~defense response to Gram-positive bacterium,	GO:0005743~mitochondrial inner membrane,GO:0005758~mitochondrial intermembrane space,GO:0005829~cytosol,GO:0005856~cytoskeleton,GO:0005886~plasma membrane,GO:0015629~actin cytoskeleton,GO:0031234~extrinsic component of cytoplasmic side of plasma membrane,GO:0032587~ruffle membrane,GO:0070062~extracellular exosome,	GO:0001784~phosphotyrosine binding,GO:0004713~protein tyrosine kinase activity,GO:0004715~non-membrane spanning protein tyrosine kinase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0019901~protein kinase binding,GO:0034987~immunoglobulin receptor binding,GO:0034988~Fc-gamma receptor I complex binding,	IPR000719:Protein kinase, catalytic domain,IPR000980:SH2 domain,IPR001245:Serine-threonine/tyrosine-protein kinase catalytic domain,IPR001452:Src homology-3 domain,IPR008266:Tyrosine-protein kinase, active site,IPR011009:Protein kinase-like domain,IPR017441:Protein kinase, ATP binding site,IPR020635:Tyrosine-protein kinase, catalytic domain,	hsa04062:Chemokine signaling pathway,			SM00219:TyrKc,SM00252:SH2,SM00326:SH3,	ATP-binding,Cell membrane,Cell projection,Complete proteome,Cytoplasm,Cytoskeleton,Immunity,Innate immunity,Kinase,Lipoprotein,Membrane,Mitochondrion,Mitochondrion inner membrane,Myristate,Nucleotide-binding,Palmitate,Phosphoprotein,Polymorphism,Proteomics identification,Proto-oncogene,Reference proteome,SH2 domain,SH3 domain,Transferase,Tyrosine-protein kinase,Ubl conjugation,	active site:Proton acceptor,binding site:ATP,chain:Proto-oncogene tyrosine-protein kinase Fgr,domain:Protein kinase,domain:SH2,domain:SH3,modified residue,nucleotide phosphate-binding region:ATP,sequence variant,
219910_at	FIC domain containing(FICD)	Homo sapiens				GO:0006269~DNA replication, synthesis of RNA primer,GO:0006278~RNA-dependent DNA biosynthetic process,GO:0018117~protein adenylylation,GO:0034260~negative regulation of GTPase activity,	GO:0016021~integral component of membrane,	GO:0003720~telomerase activity,GO:0003724~RNA helicase activity,GO:0003896~DNA primase activity,GO:0004779~sulfate adenylyltransferase activity,GO:0005524~ATP binding,GO:0008193~tRNA guanylyltransferase activity,GO:0008905~mannose-phosphate guanylyltransferase activity,GO:0033677~DNA/RNA helicase activity,GO:0043338~CTP:2,3-di-O-geranylgeranyl-sn-glycero-1-phosphate cytidyltransferase activity,GO:0043814~phospholactate guanylyltransferase activity,GO:0043910~ATP:coenzyme F420 adenylyltransferase activity,GO:0052630~UDP-N-acetylgalactosamine diphosphorylase activity,GO:0070733~protein adenylyltransferase activity,	IPR003812:Fido domain,IPR011990:Tetratricopeptide-like helical,IPR013026:Tetratricopeptide repeat-containing domain,IPR019734:Tetratricopeptide repeat,					3D-structure,ATP-binding,Complete proteome,Membrane,Nucleotide-binding,Nucleotidyltransferase,Reference proteome,Repeat,TPR repeat,Transferase,Transmembrane,Transmembrane helix,	chain:Adenosine monophosphate-protein transferase FICD,domain:Fido,modified residue,mutagenesis site,repeat:TPR 1,repeat:TPR 2,transmembrane region,
203656_at	FIG4 phosphoinositide 5-phosphatase(FIG4)	Homo sapiens				GO:0006661~phosphatidylinositol biosynthetic process,GO:0007033~vacuole organization,GO:0007626~locomotory behavior,GO:0010976~positive regulation of neuron projection development,GO:0016311~dephosphorylation,GO:0031642~negative regulation of myelination,GO:0032288~myelin assembly,GO:0036092~phosphatidylinositol-3-phosphate biosynthetic process,GO:0043473~pigmentation,GO:0048666~neuron development,	GO:0000139~Golgi membrane,GO:0005783~endoplasmic reticulum,GO:0010008~endosome membrane,GO:0016021~integral component of membrane,GO:0031901~early endosome membrane,GO:0031902~late endosome membrane,GO:0055037~recycling endosome,	GO:0004438~phosphatidylinositol-3-phosphatase activity,GO:0005515~protein binding,GO:0042578~phosphoric ester hydrolase activity,GO:0043812~phosphatidylinositol-4-phosphate phosphatase activity,GO:0043813~phosphatidylinositol-3,5-bisphosphate 5-phosphatase activity,	IPR002013:Synaptojanin, N-terminal,		216340~Yunis-Varon syndrome,611228~Charcot-Marie-Tooth disease, type 4J,612577~Amyotrophic lateral sclerosis 11,612691~Polymicrogyria, bilateral temporooccipital,			Amyotrophic lateral sclerosis,Charcot-Marie-Tooth disease,Complete proteome,Disease mutation,Endosome,Hydrolase,Membrane,Neurodegeneration,Neuropathy,Polymorphism,Proteomics identification,Reference proteome,Transmembrane,Transmembrane helix,	chain:Polyphosphoinositide phosphatase,compositionally biased region:Poly-Pro,compositionally biased region:Poly-Ser,domain:SAC,mutagenesis site,sequence conflict,sequence variant,
219249_s_at	FK506 binding protein 10(FKBP10)	Homo sapiens				GO:0000413~protein peptidyl-prolyl isomerization,GO:0006457~protein folding,GO:0061077~chaperone-mediated protein folding,	GO:0005788~endoplasmic reticulum lumen,GO:0005789~endoplasmic reticulum membrane,	GO:0003755~peptidyl-prolyl cis-trans isomerase activity,GO:0005509~calcium ion binding,GO:0005528~FK506 binding,	IPR001179:Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain,IPR002048:EF-hand domain,IPR011992:EF-hand-like domain,IPR018247:EF-Hand 1, calcium-binding site,IPR023566:Peptidyl-prolyl cis-trans isomerase, FKBP-type,		259450~Bruck syndrome 1,610968~Osteogenesis imperfecta, type XI,		SM00054:EFh,	Alternative splicing,Calcium,Complete proteome,Disease mutation,Endoplasmic reticulum,Glycoprotein,Isomerase,Metal-binding,Osteogenesis imperfecta,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Rotamase,Signal,	calcium-binding region:1,calcium-binding region:2,chain:FK506-binding protein 10,domain:EF-hand 1,domain:EF-hand 2,domain:PPIase FKBP-type 1,domain:PPIase FKBP-type 2,domain:PPIase FKBP-type 3,domain:PPIase FKBP-type 4,glycosylation site:N-linked (GlcNAc...),sequence conflict,sequence variant,short sequence motif:Prevents secretion from ER,signal peptide,
219117_s_at, 219118_at	FK506 binding protein 11(FKBP11)	Homo sapiens				GO:0000413~protein peptidyl-prolyl isomerization,GO:0006457~protein folding,GO:0061077~chaperone-mediated protein folding,	GO:0005789~endoplasmic reticulum membrane,GO:0016020~membrane,GO:0016021~integral component of membrane,	GO:0003755~peptidyl-prolyl cis-trans isomerase activity,GO:0005528~FK506 binding,	IPR001179:Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain,IPR023566:Peptidyl-prolyl cis-trans isomerase, FKBP-type,					Alternative splicing,Complete proteome,Isomerase,Membrane,Proteomics identification,Reference proteome,Rotamase,Signal,Transmembrane,Transmembrane helix,	chain:FK506-binding protein 11,domain:PPIase FKBP-type,signal peptide,transmembrane region,
219390_at	FK506 binding protein 14(FKBP14)	Homo sapiens				GO:0000413~protein peptidyl-prolyl isomerization,GO:0006457~protein folding,GO:0036498~IRE1-mediated unfolded protein response,GO:0061077~chaperone-mediated protein folding,	GO:0005788~endoplasmic reticulum lumen,GO:0005789~endoplasmic reticulum membrane,	GO:0003755~peptidyl-prolyl cis-trans isomerase activity,GO:0005509~calcium ion binding,GO:0005528~FK506 binding,	IPR001179:Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain,IPR002048:EF-hand domain,IPR011992:EF-hand-like domain,IPR018247:EF-Hand 1, calcium-binding site,IPR023566:Peptidyl-prolyl cis-trans isomerase, FKBP-type,		614557~Ehlers-Danlos syndrome with progressive kyphoscoliosis, myopathy, and hearing loss,			3D-structure,Calcium,Complete proteome,Deafness,Direct protein sequencing,Ehlers-Danlos syndrome,Endoplasmic reticulum,Glycoprotein,Isomerase,Metal-binding,Proteomics identification,Reference proteome,Repeat,Rotamase,Signal,	calcium-binding region:1,calcium-binding region:2,chain:FK506-binding protein 14,domain:EF-hand 1,domain:EF-hand 2,domain:PPIase FKBP-type,glycosylation site:N-linked (GlcNAc...),short sequence motif:Prevents secretion from ER,signal peptide,
76897_s_at, 212663_at, 31826_at	FK506 binding protein 15(FKBP15)	Homo sapiens			Cell division and chromosome partitioning,	GO:0006457~protein folding,GO:0006897~endocytosis,GO:0010923~negative regulation of phosphatase activity,	GO:0005769~early endosome,GO:0005884~actin filament,GO:0016020~membrane,GO:0030424~axon,GO:0030426~growth cone,	GO:0003779~actin binding,GO:0005515~protein binding,	IPR001179:Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain,IPR011993:Pleckstrin homology-like domain,IPR023566:Peptidyl-prolyl cis-trans isomerase, FKBP-type,					Acetylation,Actin-binding,Alternative splicing,Cell projection,Coiled coil,Complete proteome,Cytoplasm,Endocytosis,Endosome,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Transport,	chain:FK506-binding protein 15,compositionally biased region:Poly-Asp,domain:PPIase FKBP-type,modified residue,region of interest:Important for function in growth cone organization,sequence variant,splice variant,
214119_s_at, 210187_at, 200709_at, 210186_s_at	FK506 binding protein 1A(FKBP1A)	Homo sapiens		h_mtorPathway:mTOR Signaling Pathway,h_nfatPathway:NFAT and Hypertrophy of the heart (Transcription in the broken heart),		GO:0000413~protein peptidyl-prolyl isomerization,GO:0001933~negative regulation of protein phosphorylation,GO:0003007~heart morphogenesis,GO:0006457~protein folding,GO:0006458~'de novo' protein folding,GO:0006936~muscle contraction,GO:0007179~transforming growth factor beta receptor signaling pathway,GO:0007183~SMAD protein complex assembly,GO:0010039~response to iron ion,GO:0019221~cytokine-mediated signaling pathway,GO:0022417~protein maturation by protein folding,GO:0031000~response to caffeine,GO:0031398~positive regulation of protein ubiquitination,GO:0032092~positive regulation of protein binding,GO:0032513~negative regulation of protein phosphatase type 2B activity,GO:0032880~regulation of protein localization,GO:0032925~regulation of activin receptor signaling pathway,GO:0042026~protein refolding,GO:0042098~T cell proliferation,GO:0042110~T cell activation,GO:0043123~positive regulation of I-kappaB kinase/NF-kappaB signaling,GO:0043206~extracellular fibril organization,GO:0050776~regulation of immune response,GO:0051209~release of sequestered calcium ion into cytosol,GO:0051280~negative regulation of release of sequestered calcium ion into cytosol,GO:0055010~ventricular cardiac muscle tissue morphogenesis,GO:0060314~regulation of ryanodine-sensitive calcium-release channel activity,GO:0060315~negative regulation of ryanodine-sensitive calcium-release channel activity,GO:0060347~heart trabecula formation,GO:0061077~chaperone-mediated protein folding,GO:0070588~calcium ion transmembrane transport,GO:1902991~regulation of amyloid precursor protein catabolic process,GO:1990000~amyloid fibril formation,	GO:0005737~cytoplasm,GO:0005789~endoplasmic reticulum membrane,GO:0005829~cytosol,GO:0014802~terminal cisterna,GO:0016020~membrane,GO:0016021~integral component of membrane,GO:0030018~Z disc,GO:0031012~extracellular matrix,GO:0033017~sarcoplasmic reticulum membrane,GO:0043679~axon terminus,GO:0070062~extracellular exosome,	GO:0003755~peptidyl-prolyl cis-trans isomerase activity,GO:0004871~signal transducer activity,GO:0005160~transforming growth factor beta receptor binding,GO:0005515~protein binding,GO:0005527~macrolide binding,GO:0005528~FK506 binding,GO:0019855~calcium channel inhibitor activity,GO:0019899~enzyme binding,GO:0030544~Hsp70 protein binding,GO:0034713~type I transforming growth factor beta receptor binding,GO:0042803~protein homodimerization activity,GO:0044325~ion channel binding,GO:0046332~SMAD binding,GO:0048185~activin binding,	IPR001179:Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain,IPR023566:Peptidyl-prolyl cis-trans isomerase, FKBP-type,					3D-structure,Acetylation,Complete proteome,Cytoplasm,Direct protein sequencing,Isomerase,Membrane,Proteomics identification,Reference proteome,Rotamase,Transmembrane,Transmembrane helix,	chain:Peptidyl-prolyl cis-trans isomerase FKBP1A,domain:PPIase FKBP-type,helix,modified residue,sequence conflict,strand,turn,
209931_s_at, 206857_s_at	FK506 binding protein 1B(FKBP1B)	Homo sapiens				GO:0000413~protein peptidyl-prolyl isomerization,GO:0006457~protein folding,GO:0006458~'de novo' protein folding,GO:0006939~smooth muscle contraction,GO:0009749~response to glucose,GO:0010459~negative regulation of heart rate,GO:0010880~regulation of release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,GO:0010881~regulation of cardiac muscle contraction by regulation of the release of sequestered calcium ion,GO:0014808~release of sequestered calcium ion into cytosol by sarcoplasmic reticulum,GO:0019227~neuronal action potential propagation,GO:0022417~protein maturation by protein folding,GO:0030073~insulin secretion,GO:0032513~negative regulation of protein phosphatase type 2B activity,GO:0033197~response to vitamin E,GO:0034220~ion transmembrane transport,GO:0035584~calcium-mediated signaling using intracellular calcium source,GO:0042026~protein refolding,GO:0042098~T cell proliferation,GO:0042542~response to hydrogen peroxide,GO:0048680~positive regulation of axon regeneration,GO:0051280~negative regulation of release of sequestered calcium ion into cytosol,GO:0051284~positive regulation of sequestering of calcium ion,GO:0051480~regulation of cytosolic calcium ion concentration,GO:0051775~response to redox state,GO:0060314~regulation of ryanodine-sensitive calcium-release channel activity,GO:0060315~negative regulation of ryanodine-sensitive calcium-release channel activity,GO:0061077~chaperone-mediated protein folding,GO:0061179~negative regulation of insulin secretion involved in cellular response to glucose stimulus,GO:0086064~cell communication by electrical coupling involved in cardiac conduction,GO:1903779~regulation of cardiac conduction,	GO:0005737~cytoplasm,GO:0005829~cytosol,GO:0016020~membrane,GO:0030018~Z disc,GO:0033017~sarcoplasmic reticulum membrane,GO:0034704~calcium channel complex,	GO:0003755~peptidyl-prolyl cis-trans isomerase activity,GO:0005102~receptor binding,GO:0005219~ryanodine-sensitive calcium-release channel activity,GO:0005515~protein binding,GO:0005528~FK506 binding,GO:0019855~calcium channel inhibitor activity,GO:0030551~cyclic nucleotide binding,GO:0044325~ion channel binding,	IPR001179:Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain,IPR023566:Peptidyl-prolyl cis-trans isomerase, FKBP-type,					3D-structure,Alternative splicing,Complete proteome,Cytoplasm,Isomerase,Proteomics identification,Reference proteome,Rotamase,Sarcoplasmic reticulum,	chain:Peptidyl-prolyl cis-trans isomerase FKBP1B,domain:PPIase FKBP-type,helix,splice variant,strand,turn,
203391_at	FK506 binding protein 2(FKBP2)	Homo sapiens				GO:0000413~protein peptidyl-prolyl isomerization,GO:0006457~protein folding,GO:0061077~chaperone-mediated protein folding,	GO:0005783~endoplasmic reticulum,GO:0005789~endoplasmic reticulum membrane,GO:0070062~extracellular exosome,	GO:0003755~peptidyl-prolyl cis-trans isomerase activity,GO:0005515~protein binding,GO:0005528~FK506 binding,	IPR001179:Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain,IPR023566:Peptidyl-prolyl cis-trans isomerase, FKBP-type,					3D-structure,Complete proteome,Endoplasmic reticulum,Isomerase,Membrane,Polymorphism,Proteomics identification,Reference proteome,Rotamase,Signal,	chain:FK506-binding protein 2,domain:PPIase FKBP-type,helix,sequence variant,short sequence motif:Prevents secretion from ER,signal peptide,strand,turn,
218003_s_at	FK506 binding protein 3(FKBP3)	Homo sapiens				GO:0000413~protein peptidyl-prolyl isomerization,GO:0061077~chaperone-mediated protein folding,	GO:0005634~nucleus,GO:0005789~endoplasmic reticulum membrane,	GO:0003755~peptidyl-prolyl cis-trans isomerase activity,GO:0004872~receptor activity,GO:0005515~protein binding,GO:0005528~FK506 binding,GO:0044822~poly(A) RNA binding,	IPR001179:Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain,IPR023566:Peptidyl-prolyl cis-trans isomerase, FKBP-type,					3D-structure,Acetylation,Complete proteome,Isomerase,Nucleus,Phosphoprotein,Proteomics identification,Reference proteome,Rotamase,	chain:FK506-binding protein 3,domain:PPIase FKBP-type,helix,modified residue,sequence conflict,strand,turn,
200894_s_at, 200895_s_at	FK506 binding protein 4(FKBP4)	Homo sapiens				GO:0000413~protein peptidyl-prolyl isomerization,GO:0006457~protein folding,GO:0006463~steroid hormone receptor complex assembly,GO:0006825~copper ion transport,GO:0007566~embryo implantation,GO:0010977~negative regulation of neuron projection development,GO:0030521~androgen receptor signaling pathway,GO:0030850~prostate gland development,GO:0031111~negative regulation of microtubule polymerization or depolymerization,GO:0031115~negative regulation of microtubule polymerization,GO:0031503~protein complex localization,GO:0046661~male sex differentiation,GO:0061077~chaperone-mediated protein folding,GO:1900034~regulation of cellular response to heat,	GO:0005654~nucleoplasm,GO:0005737~cytoplasm,GO:0005739~mitochondrion,GO:0005789~endoplasmic reticulum membrane,GO:0005829~cytosol,GO:0005874~microtubule,GO:0043025~neuronal cell body,GO:0043234~protein complex,GO:0044295~axonal growth cone,GO:0048471~perinuclear region of cytoplasm,GO:0070062~extracellular exosome,	GO:0003755~peptidyl-prolyl cis-trans isomerase activity,GO:0005515~protein binding,GO:0005524~ATP binding,GO:0005525~GTP binding,GO:0005528~FK506 binding,GO:0030674~protein binding, bridging,GO:0031072~heat shock protein binding,GO:0032767~copper-dependent protein binding,GO:0035259~glucocorticoid receptor binding,GO:0044822~poly(A) RNA binding,GO:0048156~tau protein binding,GO:0051219~phosphoprotein binding,	IPR001179:Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain,IPR001440:Tetratricopeptide TPR-1,IPR011990:Tetratricopeptide-like helical,IPR013026:Tetratricopeptide repeat-containing domain,IPR013105:Tetratricopeptide TPR2,IPR019734:Tetratricopeptide repeat,IPR023566:Peptidyl-prolyl cis-trans isomerase, FKBP-type,	hsa04915:Estrogen signaling pathway,			SM00028:TPR,	3D-structure,Acetylation,Cell projection,Chaperone,Coiled coil,Complete proteome,Cytoplasm,Cytoskeleton,Direct protein sequencing,Isomerase,Isopeptide bond,Methylation,Microtubule,Mitochondrion,Nucleus,Phosphoprotein,Polymorphism,Proteomics identification,Reference proteome,Repeat,Rotamase,TPR repeat,Ubl conjugation,	chain:FK506-binding protein 4,chain:FK506-binding protein 4, N-terminally processed,domain:PPIase FKBP-type 1,domain:PPIase FKBP-type 2,helix,modified residue,repeat:TPR 1,repeat:TPR 2,repeat:TPR 3,sequence variant,strand,turn,
204560_at	FK506 binding protein 5(FKBP5)	Homo sapiens				GO:0000413~protein peptidyl-prolyl isomerization,GO:0006457~protein folding,GO:0061077~chaperone-mediated protein folding,	GO:0005654~nucleoplasm,GO:0005789~endoplasmic reticulum membrane,GO:0016020~membrane,GO:0070062~extracellular exosome,	GO:0003755~peptidyl-prolyl cis-trans isomerase activity,GO:0005515~protein binding,GO:0005528~FK506 binding,GO:0031072~heat shock protein binding,	IPR001179:Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain,IPR001440:Tetratricopeptide TPR-1,IPR011990:Tetratricopeptide-like helical,IPR013026:Tetratricopeptide repeat-containing domain,IPR019734:Tetratricopeptide repeat,IPR023114:Elongated TPR repeat-containing domain,IPR023566:Peptidyl-prolyl cis-trans isomerase, FKBP-type,	hsa04915:Estrogen signaling pathway,	608516~Major depressive disorder and accelerated response to antidepressant drug treatment,		SM00028:TPR,	3D-structure,Acetylation,Alternative splicing,Chaperone,Complete proteome,Cytoplasm,Isomerase,Nucleus,Phosphoprotein,Reference proteome,Repeat,Rotamase,TPR repeat,	chain:FK506-binding protein 5,domain:PPIase FKBP-type 1,domain:PPIase FKBP-type 2,helix,modified residue,repeat:TPR 1,repeat:TPR 2,repeat:TPR 3,strand,turn,
206763_at	FK506 binding protein 6(FKBP6)	Homo sapiens				GO:0000413~protein peptidyl-prolyl isomerization,GO:0006457~protein folding,GO:0007126~meiotic nuclear division,GO:0007283~spermatogenesis,GO:0030154~cell differentiation,GO:0031047~gene silencing by RNA,GO:0034587~piRNA metabolic process,GO:0043046~DNA methylation involved in gamete generation,GO:0045070~positive regulation of viral genome replication,GO:0061077~chaperone-mediated protein folding,	GO:0000795~synaptonemal complex,GO:0005737~cytoplasm,GO:0005789~endoplasmic reticulum membrane,GO:0005829~cytosol,	GO:0003755~peptidyl-prolyl cis-trans isomerase activity,GO:0005515~protein binding,GO:0005528~FK506 binding,GO:0042802~identical protein binding,GO:0051879~Hsp90 protein binding,	IPR001179:Peptidyl-prolyl cis-trans isomerase, FKBP-type, domain,IPR011990:Tetratricopeptide-like helical,IPR013026:Tetratricopeptide repeat-containing domain,IPR019734:Tetratricopeptide repeat,IPR023566:Peptidyl-prolyl cis-trans isomerase, FKBP-type,				SM00028:TPR,	3D-structure,Alternative splicing,Chromosome,Complete proteome,Cytoplasm,Differentiation,Meiosis,Nucleus,Polymorphism,Proteomics identification,Reference proteome,Repeat,RNA-mediated gene silencing,Spermatogenesis,TPR repeat,Williams-Beuren syndrome,	chain:FK506-binding protein 6,domain:PPIase FKBP-type,helix,repeat:TPR 1,repeat:TPR 2,repeat:TPR 3,strand,turn,
